Score: 185/285,,
Grading Rubric,STA(R) GEN: A STAR RECIPE GENERATOR (k),Evidence
Video,3,A well formatted video with detailed explanation by the team. Can be found here.
Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,,
"but nevertheless, here is a track record that everyone is contributing a lot)",3,https://github.com/het-patel99/Recipe_Recommender/graphs/contributors
Number of commits,3,512 commits and counting. Can be found here.
Number of commits: by different people,2,Can be found here.
Issues reports: there are many,2,https://github.com/het-patel99/Recipe_Recommender/issues?q=is%3Aissue+is%3Aclosed
Issues are being closed,3,All of the issue are closed. Can be found here.
DOI badge: exists,3,Yes. Can be found here.
"Docs: doco generated, format not ugly",3,https://github.com/het-patel99/Recipe_Recommender/tree/master/docs
Docs: what: point descriptions of each class/function (in isolation),3,https://github.com/het-patel99/Recipe_Recommender/blob/master/docs/Recipe%20Recommender%20Source%20Documentation.pdff
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,https://github.com/het-patel99/Recipe_Recommender/blob/master/docs/Recipe%20Recommender%20Source%20Documentation.pdfff
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,Can be found here.
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,Can be found in the README.md
Use of version control tools,3,Github has been used: https://github.com/het-patel99/Recipe_Recommender
Use of style checkers,3,"Yes, but the status is not reported. https://github.com/het-patel99/Recipe_Recommender/blob/master/.github/workflows/Style_Checker_and_Prettify_Code.yml"
Use of code formatters.,3,"Yes, but the status is not reported. https://github.com/het-patel99/Recipe_Recommender/blob/master/.github/workflows/Code_Formatter_and_Syntax_Check.yml"
Use of syntax checkers.,3,"Yes, but the status is not reported. https://github.com/het-patel99/Recipe_Recommender/blob/master/.github/workflows/Code_Formatter_and_Syntax_Check.yml"
Use of code coverage,3,Code coverage is 100% and can be found here.
Other automated analysis tools,0,N/A
Test cases exist,3,https://github.com/het-patel99/Recipe_Recommender/tree/master/Code/backend/__tests__
Test cases are routinely executed,3,https://github.com/het-patel99/Recipe_Recommender/tree/master/Code/backend/__tests__
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,Yes. Can be found here 
Issues are discussed before they are closed,3,Yes and they can be found here. 
Chat channel: exists,0,N/A
Test cases: a large proportion of the issues related to handling failing cases.,1,
Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,Github. https://github.com/het-patel99/Recipe_Recommender
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,
Evidence that the members of the team are working across multiple places in the code base,2,https://github.com/het-patel99/Recipe_Recommender/graphs/contributors
Short release cycles,3,Can be infered from the contributions : https://github.com/het-patel99/Recipe_Recommender/graphs/contributors
Online Sustainability Evaluation,,
"website and documentation provide a clear, high-level overview of your software",3,Yes. https://github.com/het-patel99/Recipe_Recommender#readme
website and documentation clearly describe the type of user who should use your software,3,Yes. The README.md describes the same.
publish case studies to show how your software has been used by yourself and others,0,No
software available as a package that can be deployed without building it?,3,Yes. The repository can be cloned and run without building it.
"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",3,Yes. https://github.com/het-patel99/Recipe_Recommender
Is your documentation clearly available on your website or within your software?,3,Yes can be seen in the README.md as well as the documentation here.
"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",3,https://github.com/het-patel99/Recipe_Recommender/tree/master#readme
"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",3,https://github.com/het-patel99/Recipe_Recommender/tree/master#readme
"Do you provide a comprehensive guide to all your software’s commands, functions and options?",3,https://github.com/het-patel99/Recipe_Recommender/tree/master#readme
Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,0,No
"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",0,No
Do you store your documentation under revision control with your source code?,3,https://github.com/het-patel99/Recipe_Recommender/tree/master#readme
"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",3,Yes. https://github.com/het-patel99/Recipe_Recommender/releases
Does your software describe how a user can get help with using your software?,3,Yes. Can be infered from README.md 
"Does your website and documentation describe what support, if any, you provide to users and developers?*",0,No.https://github.com/PvPatel-1001/Recipe_Recommender/blob/master/README.md
Does your project have an e-mail address or forum that is solely for supporting users?,0,No
Are e-mails to your support e-mail address received by more than one person?,0,"No, https://github.com/het-patel99/Recipe_Recommender/discussions"
Does your project have a ticketing system to manage bug reports and feature requests?,0,No
"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",0,No
Is your software’s architecture and design modular?*,3,https://github.com/het-patel99/Recipe_Recommender/blob/master/docs/Recipe%20Recommender%20Source%20Documentation.pdf
Does your software use an accepted coding standard or convention?,0,
"Does your software allow data to be imported and exported using open data formats?*
e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",0,No
"Does your software allow communications using open communications protocols?

e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",3,HTTPS
"Is your software cross-platform compatible?
*
e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",3,
Does your software adhere to appropriate accessibility conventions or standards?,0,No
Does your documentation adhere to appropriate accessibility conventions or standards?,3,
Is your source code stored in a repository under revision control?,3,https://github.com/het-patel99/Recipe_Recommender/tree/master/Code
Is each source code release a snapshot of the repository?,0,
Are releases tagged in the repository?,3,https://github.com/het-patel99/Recipe_Recommender/releases
"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)*",0,
Do you back-up your repository?*,3,
Do you provide publicly-available instructions for building your software from the source code?,3,https://github.com/het-patel99/Recipe_Recommender#readme
"Can you build, or package, your software using an automated tool?
*
e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",0,No
Do you provide publicly-available instructions for deploying your software?,3,https://github.com/het-patel99/Recipe_Recommender#readme
Does your documentation list all third-party dependencies?,3,https://github.com/het-patel99/Recipe_Recommender/blob/7ea07340af3e883e956fcc8d52e549917cdcf15a/docs/Recipe%20Recommender%20Source%20Documentation.pdf
Does your documentation list the version number for all third-party dependencies?,3,
"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",3,
"Can you download dependencies using a dependency management tool or package manager?
*
e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",3,
Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,3,https://github.com/het-patel99/Recipe_Recommender/tree/master/Code/backend/__tests__
Do you have an automated test suite for your software?,0,
Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,0,
"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",0,
Are your test results publicly visible?,0,
Are all manually-run tests documented?,3,https://github.com/het-patel99/Recipe_Recommender/tree/master/Code/backend/__tests__
"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?
*
e.g. release announcements, publications, workshops, conference presentations",0,
Does your website state how many projects and users are associated with your project?,3,
Do you provide success stories on your website?,0,
Do you list your important partners and collaborators on your website?,3,https://github.com/het-patel99/Recipe_Recommender/blob/7ea07340af3e883e956fcc8d52e549917cdcf15a/README.md#contributors-phase---3
Do you list your project's publications on your website or link to a resource where these are available?,0,
Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,0,
Can users subscribe to notifications to changes to your source code repository?,0,No
"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",0,No
"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",3,https://github.com/het-patel99/Recipe_Recommender/blob/master/CONTRIBUTING.md
Do you have a contributions policy?,3,https://github.com/het-patel99/Recipe_Recommender/blob/master/CONTRIBUTING.md
Is your contributions' policy publicly available?,3,https://github.com/het-patel99/Recipe_Recommender/blob/master/CONTRIBUTING.md
Do contributors keep the copyright/IP of their contributions?,3,Yes
Does your website and documentation clearly state the copyright owners of your software and documentation?,3,Yes. Can be found here.
Does each of your source code files include a copyright statement?,0,No
Does your website and documentation clearly state the licence of your software?,3,Yes. Can be found here.
Is your software released under an open source licence?,3,Yes. MIT license is an open source license.
Is your software released under an OSI-approved open-source licence?,3,https://github.com/het-patel99/Recipe_Recommender/blob/master/LICENSE
Does each of your source code files include a licence header?,0,No
Do you have a recommended citation for your software?,3,Yes. https://github.com/het-patel99/Recipe_Recommender/blob/master/CITATION.md
"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",3,Yes. https://github.com/het-patel99/Recipe_Recommender/tree/master#readme
"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",0,No
"Do you make timely announcements of the deprecation of components, APIs, etc.?",0,No
